id,genres,Movie_profit
257088,Thriller,28718711.0
295964,Drama,16606743.0
238615,Science Fiction,4523226.0
238615,Mystery,4523226.0
238615,Thriller,4523226.0
210860,Comedy,-29581440.0
210860,Adventure,-29581440.0
306819,Drama,49191523.0
201088,Mystery,-52247060.0
201088,Crime,-52247060.0
201088,Action,-52247060.0
201088,Thriller,-52247060.0
201088,Drama,-52247060.0
273481,Action,54025816.0
273481,Crime,54025816.0
273481,Drama,54025816.0
273481,Mystery,54025816.0
273481,Thriller,54025816.0
166424,Action,47977595.0
166424,Adventure,47977595.0
166424,Science Fiction,47977595.0
310131,Mystery,36923945.0
310131,Horror,36923945.0
238713,Action,170666219.0
238713,Comedy,170666219.0
238713,Crime,170666219.0
256591,Romance,103862963.0
256591,Comedy,103862963.0
256591,Crime,103862963.0
256591,Drama,103862963.0
249070,Action,47347656.0
249070,Crime,47347656.0
249070,Thriller,47347656.0
205775,Thriller,-6179242.0
205775,Drama,-6179242.0
205775,Adventure,-6179242.0
205775,Action,-6179242.0
205775,History,-6179242.0
312221,Drama,102935567.0
271718,Comedy,105795793.0
333352,Drama,19848185.0
333352,Thriller,19848185.0
333352,War,19848185.0
276907,Crime,17972994.0
276907,Thriller,17972994.0
266647,Adventure,-21611680.0
266647,Family,-21611680.0
266647,Fantasy,-21611680.0
227973,Adventure,147233113.0
227973,Animation,147233113.0
227973,Comedy,147233113.0
227973,Family,147233113.0
321741,Drama,13623572.0
296100,Comedy,27395996.0
263472,Drama,2714043.0
263472,Horror,2714043.0
263472,Thriller,2714043.0
228205,Romance,29013281.0
228205,Drama,29013281.0
159824,Animation,386183544.0
159824,Comedy,386183544.0
159824,Family,386183544.0
333348,Family,7000000.0
333348,Comedy,7000000.0
285783,Adventure,26181942.0
285783,Drama,26181942.0
285783,Thriller,26181942.0
290764,Action,-9136685.0
290764,Crime,-9136685.0
290764,Drama,-9136685.0
296099,Adventure,73384188.0
296099,Comedy,73384188.0
243688,Horror,60437994.0
243688,Thriller,60437994.0
287424,Horror,-3812888.0
181283,Crime,-46675670.0
181283,Thriller,-46675670.0
328425,Thriller,53978653.0
328425,Mystery,53978653.0
274167,Comedy,190360392.0
309809,Adventure,33571250.0
309809,Animation,33571250.0
309809,Fantasy,33571250.0
298382,Drama,6410000.0
272693,Romance,35028634.0
272693,Comedy,35028634.0
283445,Horror,42882018.0
256961,Action,77597242.0
256961,Adventure,77597242.0
256961,Comedy,77597242.0
256961,Family,77597242.0
241251,Thriller,46163103.0
188222,Comedy,19263404.0
252838,Comedy,56799880.0
273477,Comedy,-139234.0
273477,Horror,-139234.0
298312,Horror,93450062.0
298312,Thriller,93450062.0
261023,Crime,46775678.0
261023,Drama,46775678.0
336004,Crime,-8849864.0
336004,Action,-8849864.0
336004,Thriller,-8849864.0
287903,Horror,46548707.0
287903,Comedy,46548707.0
287903,Fantasy,46548707.0
182560,Drama,-19791412.0
182560,Mystery,-19791412.0
182560,Thriller,-19791412.0
