director,id,profit
Richard Attenborough,5902,28750000.0
Sam Wanamaker,11940,12500000.0
John Badham,11009,233613184.0
Mel Brooks,12535,27663038.0
Clint Eastwood,17689,20914658.0
John Boorman,11586,16749142.0
Jerry Jameson,7227,24000000.0
David Lynch,985,6990000.0
Michael Anderson,12707,8717854.0
William Friedkin,38985,-10000000.0
Peter Weir,72277,448000.0
John 'Bud' Cardos,30315,16500000.0
Ralph Bakshi,16220,7800000.0
Wes Craven,12262,24770000.0
James Cameron,19995,2544505847.0
Quentin Tarantino,16869,249131050.0
Patrick Tatopoulos,12437,56327197.0
David Yates,767,683959197.0
Bob Peterson,14160,556342744.0
Pete Docter,14160,556342744.0
J.J. Abrams,13475,235680446.0
McG,534,171353001.0
Neill Blomkamp,17654,180819611.0
Guy Ritchie,10528,434028679.0
Marc Webb,19913,53222734.0
Carlos Saldanha,8355,796686817.0
Todd Phillips,18785,424270619.0
Zack Snyder,13183,55258983.0
Roland Emmerich,14161,569653595.0
Shane Acker,12244,18428063.0
Ron Howard,13448,206613439.0
John Musker,10198,162045765.0
Ron Clements,10198,162045765.0
John Lee Hancock,22881,280208309.0
Ruben Fleischer,19908,78791382.0
Chris Weitz,18239,659827462.0
Ken Kwapis,10184,137259441.0
Stephen Sommers,14869,127469017.0
Anne Fletcher,18240,277375031.0
Robert Luketic,20943,167298907.0
Christopher Miller,22794,142988466.0
Phil Lord,22794,142988466.0
Wes Anderson,10315,6471023.0
Henry Selick,14836,64596398.0
Shawn Levy,18360,263106170.0
Burr Steers,16996,116267476.0
Robert Zemeckis,17979,125233863.0
Peter Jackson,7980,28525586.0
Steve Carr,14560,157293131.0
Lasse Hallstr̦m,28178,31801389.0
F. Gary Gray,22803,73690726.0
Richard Kelly,22825,3333531.0
Brian Taylor,15092,14560577.0
Mark Neveldine,15092,14560577.0
Christian Alvart,19898,-12354673.0
Sam Raimi,16871,60842646.0
Alex Proyas,13811,105446362.0
Duncan Jones,17431,4760104.0
Hoyt Yeatman,19585,142817841.0
Tony Scott,18487,50166126.0
Matthew Robinson,23082,13412793.0
Ricky Gervais,23082,13412793.0
P.J. Hogan,20048,68332743.0
Brian Taylor,18501,-9171460.0
Mark Neveldine,18501,-9171460.0
Jaco Van Dormael,31011,-43452791.0
Peter Billingsley,19899,101844840.0
Jim Sheridan,7445,17318349.0
John Hillcoat,20766,-4364695.0
Conrad Vernon,15512,206509870.0
Rob Letterman,15512,206509870.0
Andrea Arnold,24469,-642148.0
Nora Ephron,24803,89540499.0
Atom Egoyan,28211,-6540542.0
Michael Mann,11322,134104620.0
Karyn Kusama,19994,15556061.0
Jaume Collet-Serra,21208,21596251.0
Phil Traill,23706,25105542.0
David R. Ellis,19912,146167139.0
Betty Thomas,23398,368140005.0
Agnieszka Wojtowicz-Vosloo,36419,-893605.0
Gary Winick,10521,84663461.0
Lee Daniels,25793,53647833.0
Kevin Macdonald,16995,27784194.0
David S. Goyer,13788,60514050.0
Allen Hughes,12572,-6650334.0
Brett Ratner,12572,-6650334.0
Fatih Akin,12572,-6650334.0
Joshua Marston,12572,-6650334.0
Mira Nair,12572,-6650334.0
Natalie Portman,12572,-6650334.0
