genres,id,profit
Family,38317,89852759.0
Romance,38317,89852759.0
Action,49849,11822325.0
Science Fiction,49849,11822325.0
Thriller,49849,11822325.0
Drama,57212,111584879.0
War,57212,111584879.0
Comedy,40807,31187783.0
Drama,40807,31187783.0
Adventure,44896,110724603.0
Animation,44896,110724603.0
Comedy,44896,110724603.0
Family,44896,110724603.0
Comedy,49520,23450437.0
Adventure,44826,15770160.0
Drama,44826,15770160.0
Family,44826,15770160.0
Crime,50348,45412898.0
Drama,50348,45412898.0
Thriller,50348,45412898.0
Action,71676,92217355.0
Fantasy,71676,92217355.0
Thriller,71676,92217355.0
Drama,51828,44389433.0
Romance,51828,44389433.0
Action,49021,-8222894.0
Adventure,49021,-8222894.0
Thriller,49021,-8222894.0
Drama,48171,59047633.0
Horror,48171,59047633.0
Thriller,48171,59047633.0
Animation,51162,-15540000.0
Family,51162,-15540000.0
Action,52451,57274484.0
Adventure,52451,57274484.0
Comedy,52451,57274484.0
Thriller,52451,57274484.0
Comedy,58232,-6250543.0
Romance,58232,-6250543.0
Comedy,59436,121119219.0
Fantasy,59436,121119219.0
Romance,59436,121119219.0
Action,38321,18309131.0
Fantasy,38321,18309131.0
Horror,38321,18309131.0
Science Fiction,38321,18309131.0
Thriller,38321,18309131.0
Comedy,57157,10939027.0
Drama,57157,10939027.0
Romance,57157,10939027.0
Action,59440,-1942885.0
Drama,59440,-1942885.0
Action,59965,47087155.0
Mystery,59965,47087155.0
Thriller,59965,47087155.0
Action,48138,100786397.0
Mystery,48138,100786397.0
Thriller,48138,100786397.0
Fantasy,38050,77669379.0
Romance,38050,77669379.0
Thriller,38050,77669379.0
Action,37958,151904017.0
Drama,37958,151904017.0
Fantasy,37958,151904017.0
Drama,60420,3292353.0
Romance,60420,3292353.0
Comedy,59861,6160375.0
Drama,59861,6160375.0
Romance,59861,6160375.0
Adventure,39513,57552050.0
Comedy,39513,57552050.0
Science Fiction,39513,57552050.0
Action,62835,20965854.0
Crime,62835,20965854.0
Drama,62835,20965854.0
Thriller,62835,20965854.0
Action,44943,132466756.0
Science Fiction,44943,132466756.0
Horror,55779,110887643.0
Mystery,55779,110887643.0
Action,45610,-27472096.0
Crime,45610,-27472096.0
Thriller,45610,-27472096.0
Comedy,71880,70673788.0
Comedy,63492,10426096.0
Romance,63492,10426096.0
Action,23047,48100000.0
Adventure,23047,48100000.0
Fantasy,23047,48100000.0
Drama,75900,28657696.0
Comedy,74465,70081841.0
Drama,74465,70081841.0
Family,74465,70081841.0
Action,71469,34626786.0
Horror,71469,34626786.0
Science Fiction,71469,34626786.0
Thriller,71469,34626786.0
Drama,50014,99272124.0
Action,75174,52278331.0
Drama,75174,52278331.0
Thriller,75174,52278331.0
Drama,60308,60206216.0
Drama,71859,-961058.0
Thriller,71859,-961058.0
Drama,49950,24492759.0
Horror,49950,24492759.0
Thriller,49950,24492759.0
Action,417859,424987477.0
Adventure,417859,424987477.0
Animation,417859,424987477.0
Family,417859,424987477.0
Fantasy,417859,424987477.0
Action,40805,107817248.0
Comedy,40805,107817248.0
Crime,40805,107817248.0
Comedy,49022,24901913.0
Drama,49022,24901913.0
Romance,49022,24901913.0
Action,37430,-41204979.0
Adventure,37430,-41204979.0
Fantasy,37430,-41204979.0
Action,58233,115078586.0
Adventure,58233,115078586.0
Comedy,58233,115078586.0
Crime,58233,115078586.0
Thriller,58233,115078586.0
Drama,39538,75458097.0
Science Fiction,39538,75458097.0
Thriller,39538,75458097.0
Comedy,73937,-33551615.0
Drama,38117,26165571.0
Fantasy,38117,26165571.0
Romance,38117,26165571.0
Comedy,55465,16387212.0
Horror,60935,-6871330.0
Mystery,60935,-6871330.0
Science Fiction,60935,-6871330.0
Thriller,60935,-6871330.0
Action,59108,77930623.0
Comedy,59108,77930623.0
Comedy,62838,86044638.0
Romance,62838,86044638.0
Action,38319,-23778362.0
Adventure,38319,-23778362.0
Comedy,38319,-23778362.0
Fantasy,38319,-23778362.0
Horror,50357,20562924.0
Science Fiction,50357,20562924.0
Thriller,50357,20562924.0
Comedy,58151,7922237.0
Horror,58151,7922237.0
Animation,65759,20406466.0
Comedy,65759,20406466.0
Family,65759,20406466.0
Music,65759,20406466.0
Horror,41446,57138686.0
Mystery,41446,57138686.0
Adventure,50321,-111007242.0
Animation,50321,-111007242.0
Family,50321,-111007242.0
Action,59678,-10385849.0
Comedy,59678,-10385849.0
Science Fiction,59678,-10385849.0
Comedy,60307,51417394.0
Family,60307,51417394.0
Drama,64685,15247881.0
Animation,55301,267695435.0
Comedy,55301,267695435.0
Family,55301,267695435.0
Fantasy,55301,267695435.0
Music,55301,267695435.0
Drama,50780,-20029184.0
Thriller,64639,-14675559.0
Comedy,74534,126836156.0
Drama,74534,126836156.0
Adventure,41513,453749323.0
Animation,41513,453749323.0
Comedy,41513,453749323.0
Family,41513,453749323.0
Fantasy,41513,453749323.0
Action,50456,33782078.0
Adventure,50456,33782078.0
Thriller,50456,33782078.0
Comedy,85435,16539023.0
Comedy,62046,-1857846.0
Crime,62046,-1857846.0
Mystery,62046,-1857846.0
Drama,50839,16004039.0
Thriller,50839,16004039.0
Animation,45772,153712432.0
Family,45772,153712432.0
Action,55846,-15033073.0
Crime,55846,-15033073.0
Thriller,55846,-15033073.0
Comedy,65057,157243185.0
Drama,65057,157243185.0
Animation,50359,120953723.0
Comedy,23514,-21000000.0
Drama,23514,-21000000.0
Action,67913,13560274.0
Comedy,67913,13560274.0
Crime,67913,13560274.0
Thriller,67913,13560274.0
Comedy,59968,7273593.0
Drama,59968,7273593.0
Drama,63493,-9389014.0
Thriller,63493,-9389014.0
Drama,68817,39543328.0
Music,68817,39543328.0
Romance,68817,39543328.0
Crime,70578,-26387531.0
Drama,70578,-26387531.0
Thriller,70578,-26387531.0
Comedy,72113,2603069.0
Drama,72113,2603069.0
Drama,55420,1676935.0
Science Fiction,55420,1676935.0
Drama,10316,63493061.0
Action,38356,928746996.0
Adventure,38356,928746996.0
Science Fiction,38356,928746996.0
Horror,72571,200703818.0
Comedy,44564,-2887336.0
Drama,44564,-2887336.0
Comedy,50725,-12071932.0
Drama,50725,-12071932.0
Romance,50725,-12071932.0
Action,81390,21345000.0
Adventure,81390,21345000.0
Crime,81390,21345000.0
Thriller,81390,21345000.0
Comedy,64328,120184237.0
Family,64328,120184237.0
Music,64328,120184237.0
Action,56288,58564310.0
Comedy,56288,58564310.0
Family,56288,58564310.0
Crime,44945,-9380000.0
Drama,44945,-9380000.0
Thriller,44945,-9380000.0
Action,74998,-4644202.0
Drama,74998,-4644202.0
Thriller,74998,-4644202.0
Comedy,49012,5735397.0
Romance,49012,5735397.0
Adventure,49494,2122040.0
Drama,49494,2122040.0
Comedy,57431,9942188.0
Crime,63310,-1957930.0
Drama,63310,-1957930.0
Drama,80591,-14131561.0
Romance,80591,-14131561.0
Horror,58428,-671604.0
Thriller,58428,-671604.0
Drama,47760,-7836735.0
Romance,47760,-7836735.0
Drama,101173,-6627398.0
Thriller,101173,-6627398.0
Crime,88794,49606030.0
Drama,88794,49606030.0
History,88794,49606030.0
Action,48340,78609310.0
Thriller,48340,78609310.0
Comedy,70868,6551495.0
Drama,48231,12462041.0
Thriller,48231,12462041.0
Action,43959,29088990.0
Drama,43959,29088990.0
Action,62206,12547440.0
Adventure,62206,12547440.0
Comedy,62206,12547440.0
Drama,77949,-4588539.0
Horror,77949,-4588539.0
Thriller,77949,-4588539.0
Animation,57089,-16478171.0
Comedy,57089,-16478171.0
Family,57089,-16478171.0
Drama,50601,-19982521.0
War,50601,-19982521.0
Drama,55787,76156230.0
Romance,55787,76156230.0
Drama,69668,-11497660.0
Mystery,69668,-11497660.0
Thriller,69668,-11497660.0
Drama,55720,-8240748.0
Comedy,59296,1377.0
Romance,59296,1377.0
Action,75622,-11027488.0
Crime,75622,-11027488.0
Drama,75622,-11027488.0
Thriller,75622,-11027488.0
Drama,64720,-1900686.0
Thriller,64720,-1900686.0
Comedy,51588,2130000.0
Documentary,57276,10306880.0
Drama,72213,33522221.0
Adventure,77221,-34554000.0
Drama,77221,-34554000.0
Drama,73567,-6334931.0
Thriller,73567,-6334931.0
Action,38322,51615414.0
Comedy,38322,51615414.0
Crime,38322,51615414.0
Comedy,50217,2499907.0
Drama,50217,2499907.0
Romance,50217,2499907.0
Drama,62837,58404397.0
Family,62837,58404397.0
Action,55292,4662874.0
Drama,55292,4662874.0
Action,51497,501137675.0
Crime,51497,501137675.0
Thriller,51497,501137675.0
Action,79070,-2496642.0
Comedy,79070,-2496642.0
Romance,79070,-2496642.0
Thriller,79070,-2496642.0
Drama,79777,-9696123.0
Romance,79777,-9696123.0
War,79777,-9696123.0
Comedy,60422,-3644312.0
Drama,60422,-3644312.0
Comedy,57119,31110610.0
Horror,92182,11101672.0
Mystery,92182,11101672.0
Drama,9364,-7899085.0
Romance,9364,-7899085.0
Comedy,84355,3075000.0
Drama,84355,3075000.0
Adventure,59860,-2575000.0
Comedy,59860,-2575000.0
Romance,59860,-2575000.0
Comedy,55725,-176788.0
Drama,55725,-176788.0
