production_companies,id,profit
Gold Circle Films,254470,258506194.0
Universal Pictures,254470,258506194.0
Amblin Entertainment,296098,122610473.0
DreamWorks SKG,296098,122610473.0
Fox 2000 Pictures,296098,122610473.0
Marc Platt Productions,296098,122610473.0
Studio Babelsberg,296098,122610473.0
Columbia Pictures,257445,92170815.0
Original Film,257445,92170815.0
Scholastic Entertainment,257445,92170815.0
A24,264644,29401758.0
Duperele Films,264644,29401758.0
Element Pictures,264644,29401758.0
No Trace Camping,264644,29401758.0
Buena Vista,105864,156926147.0
Pixar Animation Studios,105864,156926147.0
Walt Disney Pictures,105864,156926147.0
Energy Entertainment,241554,21561644.0
RatPac-Dune Entertainment,241554,21561644.0
Vertigo Entertainment,241554,21561644.0
Irish Film Board,167073,51076141.0
Item 7,167073,51076141.0
Parallel Film Productions,167073,51076141.0
Wildgaze Films,167073,51076141.0
Broken Chair Flickz,277216,173634991.0
Cube Vision,277216,173634991.0
Legendary Pictures,277216,173634991.0
New Line Cinema,277216,173634991.0
Universal Pictures,277216,173634991.0
Atmosphere Entertainment MM,274854,50396650.0
Goldmann Pictures,274854,50396650.0
NeoReel,274854,50396650.0
One Race Films,274854,50396650.0
Summit Entertainment,274854,50396650.0
Legendary Pictures,321697,4441873.0
Management 360,321697,4441873.0
Scott Rudin Productions,321697,4441873.0
The Mark Gordon Company,321697,4441873.0
Universal Pictures,321697,4441873.0
Davis Entertainment,203801,33145109.0
RatPac-Dune Entertainment,203801,33145109.0
Warner Bros.,203801,33145109.0
Wigram Productions,203801,33145109.0
Lakeshore Entertainment,293863,17629776.0
Sidney Kimmel Entertainment,293863,17629776.0
Sierra/Affinity,293863,17629776.0
Bazelevs Production,325348,4333790.0
Versus Pictures,325348,4333790.0
DreamWorks Animation,228161,233871007.0
Twentieth Century Fox Film Corporation,228161,233871007.0
Fox 2000 Pictures,286565,73512300.0
Element Pictures,254320,5064511.0
Eurimages,254320,5064511.0
Haut et Court,254320,5064511.0
Lemming Film,254320,5064511.0
Nederlands Fonds voor de Film,254320,5064511.0
Film4,258480,28472135.0
Killer Films,258480,28472135.0
Number 9 Films,258480,28472135.0
Warner Bros.,257211,159564672.0
Waverly Films,257211,159564672.0
Cross Creek Pictures,253412,148427584.0
Free State Pictures,253412,148427584.0
Universal Pictures,253412,148427584.0
Walden Media,253412,148427584.0
Working Title Films,253412,148427584.0
Annapurna Pictures,274479,41134059.0
Davis Entertainment,274479,41134059.0
Fox 2000 Pictures,274479,41134059.0
TSG Entertainment,274479,41134059.0
Alcon Entertainment,257088,28718711.0
DMG Entertainment,257088,28718711.0
Ehman Productions,257088,28718711.0
Studio Babelsberg,257088,28718711.0
3 Arts Entertainment,295964,16606743.0
Double Feature Films,295964,16606743.0
PeaPie Films,295964,16606743.0
Endgame Entertainment,238615,4523226.0
Ram Bergman Productions,238615,4523226.0
Huayi Brothers Media,210860,-29581440.0
Lionsgate,210860,-29581440.0
Mad Chance,210860,-29581440.0
OddLot Entertainment,210860,-29581440.0
ArtÃ©mis Productions,306819,49191523.0
Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique,306819,49191523.0
Pretty Pictures,306819,49191523.0
Taxshelter. be,306819,49191523.0
Working Title Films,306819,49191523.0
Forward Pass,201088,-52247060.0
Legendary Pictures,201088,-52247060.0
Universal Pictures,201088,-52247060.0
Black Label Media,273481,54025816.0
Lionsgate,273481,54025816.0
Thunder Road Pictures,273481,54025816.0
Constantin Film.,166424,47977595.0
Marv Films,166424,47977595.0
Marvel Entertainment,166424,47977595.0
Moving Picture Company (MPC),166424,47977595.0
Twentieth Century Fox Film Corporation,166424,47977595.0
Maiden Voyage Pictures,310131,36923945.0
Parts and Labor,310131,36923945.0
Pulse Films,310131,36923945.0
RT Features,310131,36923945.0
Rooks Nest Entertainment,310131,36923945.0
Chernin Entertainment,238713,170666219.0
Feigco Entertainment,238713,170666219.0
Twentieth Century Fox Film Corporation,238713,170666219.0
Kramer & Sigman Films,256591,103862963.0
RatPac-Dune Entertainment,256591,103862963.0
Zaftig Films,256591,103862963.0
Fox International Productions,249070,47347656.0
Infinite Frameworks Studios,249070,47347656.0
TSG Entertainment,249070,47347656.0
Twentieth Century Fox Film Corporation,249070,47347656.0
Imagine Entertainment,205775,-6179242.0
K. JAM Media,205775,-6179242.0
Roth Films,205775,-6179242.0
Spring Creek Productions,205775,-6179242.0
Warner Bros.,205775,-6179242.0
Chartoff-Winkler Productions,312221,102935567.0
Metro-Goldwyn-Mayer (MGM),312221,102935567.0
New Line Cinema,312221,102935567.0
Warner Bros.,312221,102935567.0
Apatow Productions,271718,105795793.0
Dentsu,271718,105795793.0
Fuji Television Network,271718,105795793.0
Universal Pictures,271718,105795793.0
Entertainment One,333352,19848185.0
Moonlighting Films,333352,19848185.0
Raindog Films,333352,19848185.0
Anton Capital Entertainment (ACE),276907,17972994.0
Cross Creek Pictures,276907,17972994.0
Working Title Films,276907,17972994.0
Berlanti Productions,266647,-21611680.0
Moving Picture Company (MPC),266647,-21611680.0
RatPac-Dune Entertainment,266647,-21611680.0
Warner Bros.,266647,-21611680.0
Blue Sky Studios,227973,147233113.0
Feigco Entertainment,227973,147233113.0
Twentieth Century Fox Animation,227973,147233113.0
LStar Capital,321741,13623572.0
Scott Free Productions,321741,13623572.0
The Cantillon Company,321741,13623572.0
The Shuman Company,321741,13623572.0
Village Roadshow Pictures,321741,13623572.0
Good Universe,296100,27395996.0
Point Grey Pictures,296100,27395996.0
Sony Pictures,296100,27395996.0
Black Bear Pictures,263472,2714043.0
Dragonfly Entertainment,263472,2714043.0
Sobras International Pictures,263472,2714043.0
Square One Entertainment,263472,2714043.0
Universum Film (UFA),263472,2714043.0
Fox 2000 Pictures,228205,29013281.0
Temple Hill Entertainment,228205,29013281.0
Columbia Pictures,159824,386183544.0
Sony Pictures Animation,159824,386183544.0
CBS Films,333348,7000000.0
Groundswell Productions,333348,7000000.0
Imagine Entertainment,333348,7000000.0
ImageMovers,285783,26181942.0
Sony Pictures Entertainment,285783,26181942.0
TriStar Pictures,285783,26181942.0
Freerunning,290764,-9136685.0
Melbarken,290764,-9136685.0
Saban Films,290764,-9136685.0
Senator Film,290764,-9136685.0
Temple Hill Entertainment,290764,-9136685.0
BenderSpink,296099,73384188.0
David Dobkin Productions,296099,73384188.0
New Line Cinema,296099,73384188.0
Ghost House Pictures,243688,60437994.0
Metro-Goldwyn-Mayer (MGM),243688,60437994.0
TSG Entertainment,243688,60437994.0
Vertigo Entertainment,243688,60437994.0
Grindstone Entertainment Group,287424,-3812888.0
Lionsgate,287424,-3812888.0
Matt Baer Films,287424,-3812888.0
Silver Reel,287424,-3812888.0
Sly Predator,287424,-3812888.0
Scott Free Productions,181283,-46675670.0
Summit Entertainment,181283,-46675670.0
Worldview Entertainment,181283,-46675670.0
Ahimsa Films,328425,53978653.0
Blue-Tongue Films,328425,53978653.0
Blumhouse Productions,328425,53978653.0
STX Entertainment,328425,53978653.0
Gary Sanchez Productions,274167,190360392.0
Good Universe,274167,190360392.0
Paramount Pictures,274167,190360392.0
Red Granite Pictures,274167,190360392.0
CityMation,309809,33571250.0
On Entertainment,309809,33571250.0
Onyx Films,309809,33571250.0
Orange Studios,309809,33571250.0
Zippcast Films,309809,33571250.0
Amazon Studios,298382,6410000.0
Apollo Media,298382,6410000.0
Film Art Media,298382,6410000.0
CBS Films,272693,35028634.0
Vast Entertainment,272693,35028634.0
Wonderland Sound and Vision,272693,35028634.0
Alliance Films,283445,42882018.0
Automatik Entertainment,283445,42882018.0
Blumhouse Productions,283445,42882018.0
Entertainment One,283445,42882018.0
IM Global,283445,42882018.0
Columbia Pictures,256961,77597242.0
Happy Madison Productions,256961,77597242.0
Sony Pictures Entertainment (SPE),256961,77597242.0
Sony Pictures Home Entertainment,256961,77597242.0
Sony Pictures Releasing,256961,77597242.0
Blumhouse Productions,241251,46163103.0
Nuyorican Productions,241251,46163103.0
Smart Entertainment,241251,46163103.0
Universal Pictures,241251,46163103.0
Closest to the Hole Productions,188222,19263404.0
Warner Bros.,188222,19263404.0
LStar Capital,252838,56799880.0
Miramax Films,252838,56799880.0
Screen Gems,252838,56799880.0
Broken Road Productions,273477,-139234.0
Brucks Entertainment,273477,-139234.0
Oops Doughnuts Productions,273477,-139234.0
Paramount Pictures,273477,-139234.0
Blinding Edge Pictures,298312,93450062.0
Blumhouse Productions,298312,93450062.0
Cross Creek Pictures,261023,46775678.0
Free State Pictures,261023,46775678.0
Head Gear Films,261023,46775678.0
Infinitum Nihil,261023,46775678.0
RatPac-Dune Entertainment,261023,46775678.0
Emmett/Furla Films,336004,-8849864.0
Mass Hysteria Entertainment,336004,-8849864.0
Silver Plane Films,336004,-8849864.0
Tri Vision Pictures,336004,-8849864.0
Legendary Pictures,287903,46548707.0
Universal Pictures,287903,46548707.0
Cuatro Plus Films,182560,-19791412.0
Denver and Delilah Productions,182560,-19791412.0
Exclusive Media Group,182560,-19791412.0
Hugo Productions,182560,-19791412.0
Mandalay Vision,182560,-19791412.0
Bold Films,192141,49418872.0
Brothers Dowdle Productions,192141,49418872.0
Living Films,192141,49418872.0
Forest Whitaker's Significant Productions,308639,17286781.0
IamOTHER Entertainment,308639,17286781.0
Revolt Films,308639,17286781.0
Circle of Confusion,261392,208085.0
Concorde Filmverleih,261392,208085.0
FilmNation Entertainment,261392,208085.0
Likely Story,261392,208085.0
The Bridge Finance Company,261392,208085.0
BBC Films,304357,50619773.0
Origin Pictures,304357,50619773.0
Little Stranger,266294,75011053.0
Insurge Pictures,227719,20248241.0
MTV Films,227719,20248241.0
Paramount Pictures,227719,20248241.0
Platinum Dunes,227719,20248241.0
EuropaCorp,287948,47629670.0
Legendary Pictures,201085,19679822.0
Iron Horse Entertainment (II),264999,107613057.0
Warner Bros.,264999,107613057.0
Blumhouse Productions,146301,68099553.0
Paramount Pictures,146301,68099553.0
Groundswell Productions,294016,-6764339.0
Inimitable Pictures,294016,-6764339.0
ShivHans Pictures,294016,-6764339.0
Gran Via Productions,290751,12689727.0
IM Global,290751,12689727.0
Ingenious Media,290751,12689727.0
Route One Films,290751,12689727.0
Disruption Entertainment,228165,237594032.0
Nickelodeon Animation Studios,228165,237594032.0
Nickelodeon Movies,228165,237594032.0
Paramount Pictures,228165,237594032.0
United Plankton Pictures,228165,237594032.0
Metro-Goldwyn-Mayer (MGM),272878,23967255.0
Sunswept Entertainment,272878,23967255.0
Warner Bros.,272878,23967255.0
Canal+,266396,-29335251.0
Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),266396,-29335251.0
Silver Pictures,266396,-29335251.0
StudioCanal,266396,-29335251.0
TF1 Films Production,266396,-29335251.0
Bazelevs Production,277685,61882090.0
Blumhouse Productions,277685,61882090.0
Metro-Goldwyn-Mayer (MGM),268920,16680201.0
New Line Cinema,268920,16680201.0
Pacific Standard,268920,16680201.0
Warner Bros.,268920,16680201.0
Sony Pictures,280092,94303851.0
BBC Films,328589,35387687.0
TriStar Productions,328589,35387687.0
Davis Entertainment,228066,-5772702.0
Moving Picture Company (MPC),228066,-5772702.0
TSG Entertainment,228066,-5772702.0
Twentieth Century Fox Film Corporation,228066,-5772702.0
Starburns Industries,291270,-4240714.0
Archer Gray,250124,-522998.0
Caviar Films,250124,-522998.0
Cold Iron Pictures,250124,-522998.0
Gravier Productions,282984,16391084.0
Sony Pictures,282984,16391084.0
Clinica Estetico,275601,23325328.0
Columbia TriStar,275601,23325328.0
LStar Capital,275601,23325328.0
Screen Gems,304372,48273173.0
A24,252512,-2412515.0
Scott Rudin Productions,252512,-2412515.0
Gary Sanchez Productions,257091,66511453.0
Warner Bros.,257091,66511453.0
Alcon Entertainment,293646,-97277.0
Fabula,293646,-97277.0
Half Circle,293646,-97277.0
Phoenix Pictures,293646,-97277.0
Film4,245168,2002420.0
PathÃ©,245168,2002420.0
Ruby Films,245168,2002420.0
Working Title Films,301351,5122090.0
Blueprint Pictures,268238,75978266.0
Fox Searchlight,268238,75978266.0
Participant Media,268238,75978266.0
Metanoia Films,256962,-13579681.0
Columbia Pictures,222936,-10749980.0
RatPac Entertainment,222936,-10749980.0
Regency Enterprises,222936,-10749980.0
Sony Pictures Entertainment (SPE),222936,-10749980.0
Vinyl Films,222936,-10749980.0
Participant Media,10317,-20997739.0
Smokehouse Pictures,10317,-20997739.0
Double Feature Films,306745,-6426665.0
Endgame Entertainment,306745,-6426665.0
High Frequency Entertainment,306745,-6426665.0
Les CinÃ©mas de la Zone,292431,-2304731.0
RT Features,292431,-2304731.0
Rectangle Productions,292431,-2304731.0
Scope Pictures,292431,-2304731.0
Wild Bunch,292431,-2304731.0
Echo Lake Entertainment,300693,-7058446.0
Mythology Entertainment (II),300693,-7058446.0
RatPac Entertainment,300693,-7058446.0
Big Indie Pictures,256924,835752.0
ShivHans Pictures,256924,835752.0
Dune Films,253414,-11979336.0
QED International,253414,-11979336.0
Shangri-La Entertainment,253414,-11979336.0
Venture Forth,253414,-11979336.0
Haven Entertainment,320588,13444999.0
Red Crown Productions,320588,13444999.0
H2F Entertainment,157544,-11215237.0
Lakeshore Entertainment,157544,-11215237.0
Lionsgate,157544,-11215237.0
Pantelion Films,157544,-11215237.0
Broad Green Pictures,283235,-6588073.0
Hyde Park Entertainment,283235,-6588073.0
Imagenation Abu Dhabi FZ,283235,-6588073.0
Noruz Films,283235,-6588073.0
Metro-Goldwyn-Mayer (MGM),243938,-1685349.0
Paramount Pictures,243938,-1685349.0
Worldview Entertainment,254905,-3856899.0
Route One Films,232572,27991087.0
Wildwood Enterprises,232572,27991087.0
Blumhouse Productions,243940,60810728.0
Chapter One Films,243940,60810728.0
Lionsgate,243940,60810728.0
Escape Artists,239573,-20568747.0
New Regency Pictures,239573,-20568747.0
Regency Enterprises,239573,-20568747.0
Studio Babelsberg,239573,-20568747.0
Bold Films,167810,-1954569.0
Marc Platt Productions,167810,-1954569.0
Phantasma,167810,-1954569.0
Blumhouse Productions,299245,42564410.0
Management 360,299245,42564410.0
New Line Cinema,299245,42564410.0
Tremendum Pictures,299245,42564410.0
Jolie Pas,314385,-6665073.0
Pellikola,314385,-6665073.0
Plan B Entertainment,314385,-6665073.0
Treehouse Pictures,253331,12571189.0
Bron Studios,297806,-11353212.0
RatPac Entertainment,297806,-11353212.0
Allspark Pictures,266639,-2666316.0
Blumhouse Productions,266639,-2666316.0
Hasbro Studios,266639,-2666316.0
Universal Pictures,266639,-2666316.0
Focus Features,283587,-5909223.0
Participant Media,283587,-5909223.0
Red Crown Productions,283587,-5909223.0
Dimension Films,234212,387000.0
First Point Entertainment,234212,387000.0
IM Global,234212,387000.0
Icon Entertainment International,234212,387000.0
Ealing Studios,308638,323793.0
Electric Dynamite,308638,323793.0
Londinium Films,308638,323793.0
Rip Cord Productions,308638,323793.0
Worldview Entertainment,245846,-9982528.0
1019 Entertainment,331190,801508.0
BN Films,331190,801508.0
Brightside Entertainment,331190,801508.0
Itaca Films,331190,801508.0
Yoruba Saxon Productions,331190,801508.0
Emmett/Furla Films,343795,-157301.0
Giving Films,343795,-157301.0
1821 Pictures,309304,6487452.0
Depth of Field,309304,6487452.0
Affirm Films,323272,64790117.0
Kendrick Brothers Productions,323272,64790117.0
Provident Films,323272,64790117.0
Centropolis Entertainment,273899,-13312326.0
Mel's Cite du Cinema,273899,-13312326.0
Legendary Pictures,157336,456752480.0
Lynda Obst Productions,157336,456752480.0
Paramount Pictures,157336,456752480.0
Syncopy,157336,456752480.0
Warner Bros.,157336,456752480.0
Bulletproof Cupid,118340,603312399.0
Marvel Studios,118340,603312399.0
Moving Picture Company (MPC),118340,603312399.0
Revolution Sun Studios,118340,603312399.0
Marvel Studios,100402,544766572.0
87Eleven,245891,58739897.0
DefyNite Films,245891,58739897.0
MJW Films,245891,58739897.0
Thunder Road Pictures,245891,58739897.0
Warner Bros.,245891,58739897.0
Color Force,131631,627100229.0
Lionsgate,131631,627100229.0
3Foot7,122917,705119788.0
Metro-Goldwyn-Mayer (MGM),122917,705119788.0
New Line Cinema,122917,705119788.0
WingNut Films,122917,705119788.0
Walt Disney Animation Studios,177572,487105443.0
Walt Disney Pictures,177572,487105443.0
Black Bear Pictures,205596,219555708.0
Bristol Automotive,205596,219555708.0
Dayday Films,198663,314319861.0
Gotham Group,198663,314319861.0
Ingenious Media,198663,314319861.0
Temple Hill Entertainment,198663,314319861.0
Twentieth Century Fox Film Corporation,198663,314319861.0
Le Grisbi Productions,194662,85215094.0
M Productions,194662,85215094.0
New Regency Pictures,194662,85215094.0
TSG Entertainment,194662,85215094.0
Worldview Entertainment,194662,85215094.0
New Regency Pictures,210577,308330363.0
Pacific Standard,210577,308330363.0
Regency Enterprises,210577,308330363.0
TSG Entertainment,210577,308330363.0
Twentieth Century Fox Film Corporation,210577,308330363.0
Columbia Pictures,228150,143817906.0
Crave Films,228150,143817906.0
Huayi Brothers Media,228150,143817906.0
LStar Capital,228150,143817906.0
QED International,228150,143817906.0
1492 Pictures,181533,222424282.0
21 Laps Entertainment,181533,222424282.0
Moving Picture Company (MPC),181533,222424282.0
TSG Entertainment,181533,222424282.0
Twentieth Century Fox Film Corporation,181533,222424282.0
Red Wagon Entertainment,157350,203747895.0
Summit Entertainment,157350,203747895.0
Bad Hat Harry Productions,127585,496000000.0
Donners' Company,127585,496000000.0
Marvel Entertainment,127585,496000000.0
TSG Entertainment,127585,496000000.0
Twentieth Century Fox Film Corporation,127585,496000000.0
Canal+,240832,423360063.0
CinÃ©+,240832,423360063.0
EuropaCorp,240832,423360063.0
TF1 Films Production,240832,423360063.0
Universal Pictures,240832,423360063.0
Nickelodeon Movies,98566,352200000.0
Paramount Pictures,98566,352200000.0
Platinum Dunes,98566,352200000.0
Escape Artists,225886,86069509.0
LStar Capital,225886,86069509.0
Media Rights Capital,225886,86069509.0
Sony Pictures Entertainment (SPE),225886,86069509.0
Bold Films,242582,30197217.0
Sierra / Affinity,242582,30197217.0
Amblin Entertainment,91314,35500000.0
Di Bonaventura Pictures,91314,35500000.0
Hasbro,91314,35500000.0
Paramount Pictures,91314,35500000.0
Platinum Dunes,91314,35500000.0
Fox Searchlight Pictures,120467,144600318.0
Indian Paintbrush,120467,144600318.0
Scott Rudin Productions,120467,144600318.0
Studio Babelsberg,120467,144600318.0
TSG Entertainment,120467,144600318.0
Blumhouse Productions,244786,10693093.0
Bold Films,244786,10693093.0
Right of Way Films,244786,10693093.0
Chernin Entertainment,119450,538200000.0
Ingenious Media,119450,538200000.0
TSG Entertainment,119450,538200000.0
Columbia Pictures,156022,137330738.0
Escape Artists,156022,137330738.0
LStar Capital,156022,137330738.0
Mace Neufeld Productions,156022,137330738.0
Village Roadshow Pictures,156022,137330738.0
BenderSpink,227159,64645357.0
New Line Cinema,227159,64645357.0
RatPac Entertainment,227159,64645357.0
Avi Arad Productions,102382,505717432.0
Columbia Pictures,102382,505717432.0
Marvel Enterprises,102382,505717432.0
Matt Tolmach Productions,102382,505717432.0
3 Arts Entertainment,137113,192541256.0
Province of British Columbia Production Services Tax Credit,137113,192541256.0
Village Roadshow Pictures,137113,192541256.0
Viz Media,137113,192541256.0
Warner Bros.,137113,192541256.0
Columbia TriStar,228967,-32694825.0
Mad Chance Productions,190859,483507423.0
Malpaso Productions,190859,483507423.0
RatPac-Dune Entertainment,190859,483507423.0
Village Roadshow Pictures,190859,483507423.0
Warner Bros.,190859,483507423.0
Babieka,147441,128031828.0
Chernin Entertainment,147441,128031828.0
Scott Free Productions,147441,128031828.0
Volcano Films,147441,128031828.0
Disruption Entertainment,124905,369076069.0
Legendary Pictures,124905,369076069.0
RatPac-Dune Entertainment,124905,369076069.0
Toho Company,124905,369076069.0
Warner Bros.,124905,369076069.0
Roth Films,102651,578410378.0
Walt Disney Pictures,102651,578410378.0
Irish Dreamtime,254904,17556119.0
Relativity Media,254904,17556119.0
SPD Films,254904,17556119.0
Blumhouse Productions,242512,97529779.0
Hasbro,242512,97529779.0
Media Rights Capital,242512,97529779.0
Platinum Dunes,242512,97529779.0
Universal Pictures,242512,97529779.0
DreamWorks Animation,82702,464123048.0
Mad Hatter Entertainment,82702,464123048.0
Animal Kingdom,270303,11500000.0
Northern Lights Films,270303,11500000.0
Two Flints,270303,11500000.0
Davis-Films,138103,116172544.0
Ex3 Productions,138103,116172544.0
LionsGate,138103,116172544.0
Millennium Films,138103,116172544.0
Nu Image Films,138103,116172544.0
DC Comics,137106,409160692.0
Lin Pictures,137106,409160692.0
Vertigo Entertainment,137106,409160692.0
Village Roadshow Pictures,137106,409160692.0
Warner Bros. Animation,137106,409160692.0
Legendary Pictures,68737,19178613.0
Moving Picture Company (MPC),68737,19178613.0
Outlaw Sinema,68737,19178613.0
Pendle Mountain Productions,68737,19178613.0
Thunder Road Pictures,68737,19178613.0
Working Title Films,266856,106201940.0
Genre Films,193893,119621271.0
Twentieth Century Fox Film Corporation,193893,119621271.0
WideAwake,193893,119621271.0
Dentsu,49017,145529201.0
Fuji Television Network,49017,145529201.0
Legendary Pictures,49017,145529201.0
Michael De Luca Productions,49017,145529201.0
Universal Pictures,49017,145529201.0
DreamWorks Animation,270946,241552094.0
Lucamar Productions,224141,162902372.0
Marc Platt Productions,224141,162902372.0
Walt Disney Pictures,224141,162902372.0
Atmosphere Entertainment MM,53182,227580051.0
Hollywood Gang Productions,53182,227580051.0
Legendary Pictures,53182,227580051.0
Nimar Studios,53182,227580051.0
Warner Bros.,53182,227580051.0
Asis Productions,227156,41980456.0
The Weinstein Company,227156,41980456.0
Tonik Productions,227156,41980456.0
Walden Media,227156,41980456.0
Cannell Studios,187017,138441614.0
Columbia Pictures,187017,138441614.0
Media Rights Capital,187017,138441614.0
Metro-Goldwyn-Mayer (MGM),187017,138441614.0
Original Film,187017,138441614.0
1984 Private Defense Contractors,169917,25181600.0
Cross Creek Pictures,169917,25181600.0
Double Feature Films,169917,25181600.0
Exclusive Media Group,169917,25181600.0
Jersey Films,169917,25181600.0
Canal+,116149,204207227.0
Heyday Films,116149,204207227.0
StudioCanal,116149,204207227.0
TF1 Films Production,116149,204207227.0
The Weinstein Company,116149,204207227.0
Cinelou Films,284276,-4639719.0
Echo Films,284276,-4639719.0
We're Not Brothers Productions,284276,-4639719.0
Aldamisa Entertainment,212778,34967935.0
Fetisov Teterin Films,212778,34967935.0
Kilburn Media,212778,34967935.0
Open Road Films,212778,34967935.0
5150 Action,238636,99782847.0
Blumhouse Productions,238636,99782847.0
Platinum Dunes,238636,99782847.0
Universal Pictures,238636,99782847.0
Why Not Productions,238636,99782847.0
Stoney Lake Entertainment,218043,3682924.0
Detour Filmproduction,85350,40349000.0
IFC Productions,85350,40349000.0
Before the Door Pictures,241239,-7992930.0
FilmNation Entertainment,241239,-7992930.0
Imagenation Abu Dhabi FZ,241239,-7992930.0
Participant Media,241239,-7992930.0
Washington Square Films,241239,-7992930.0
Flynn Picture Company,184315,143400000.0
Metro-Goldwyn-Mayer (MGM),184315,143400000.0
Paramount Pictures,184315,143400000.0
Radical Studios,184315,143400000.0
Disruption Entertainment,86834,237637473.0
Paramount Pictures,86834,237637473.0
Protozoa Pictures,86834,237637473.0
Regency Enterprises,86834,237637473.0
Big Kid Pictures,205587,33719388.0
Team Downey,205587,33719388.0
Village Roadshow Pictures,205587,33719388.0
Warner Bros.,205587,33719388.0
Gulfstream Pictures,232672,83494610.0
Happy Madison Productions,232672,83494610.0
Karz Entertainment,232672,83494610.0
Warner Bros.,232672,83494610.0
Good Universe,195589,250157400.0
Point Grey Pictures,195589,250157400.0
Universal Pictures,195589,250157400.0
Metro-Goldwyn-Mayer (MGM),249164,67874843.0
New Line Cinema,249164,67874843.0
Offspring Entertainment,243683,41165646.0
Summit Entertainment,243683,41165646.0
Fox 2000 Pictures,222935,293151265.0
TSG Entertainment,222935,293151265.0
Temple Hill Entertainment,222935,293151265.0
